date,day,personnel,personnel*,POW
2/25/2022,2,2800,about,0
2/26/2022,3,4300,about,0
2/27/2022,4,4500,about,0
2/28/2022,5,5300,about,0
3/1/2022,6,5710,about,200
3/2/2022,7,5840,about,200
3/3/2022,8,9000,about,200
3/4/2022,9,9166,about,200
3/5/2022,10,10000,about,216
3/6/2022,11,11000,about,232
3/7/2022,12,11000,more,259
3/8/2022,13,12000,about,284
3/9/2022,14,12000,about,360
3/10/2022,15,12000,more,371
3/11/2022,16,12000,more,389
3/12/2022,17,12000,more,389
3/13/2022,18,12000,more,389
3/14/2022,19,12000,more,389
3/15/2022,20,13500,about,389
3/16/2022,21,13800,about,389
3/17/2022,22,14000,about,405
3/18/2022,23,14200,about,405
3/19/2022,24,14400,about,405
3/20/2022,25,14700,about,405
3/21/2022,26,15000,about,405
3/22/2022,27,15300,about,411
3/23/2022,28,15600,about,412
3/24/2022,29,15800,about,412
3/25/2022,30,16100,about,412
3/26/2022,31,16400,about,412
3/27/2022,32,16600,about,421
3/28/2022,33,17000,about,421
3/29/2022,34,17200,about,430
3/30/2022,35,17300,about,430
3/31/2022,36,17500,about,459
4/1/2022,37,17700,about,459
4/2/2022,38,17700,about,460
4/3/2022,39,18000,about,460
4/4/2022,40,18300,about,460
4/5/2022,41,18500,about,467
4/6/2022,42,18600,about,467
4/7/2022,43,18900,about,467
4/8/2022,44,19000,about,467
4/9/2022,45,19100,about,467
4/10/2022,46,19300,about,467
4/11/2022,47,19500,about,467
4/12/2022,48,19600,about,477
4/13/2022,49,19800,about,477
4/14/2022,50,19900,about,477
4/15/2022,51,20000,about,477
4/16/2022,52,20100,about,477
4/17/2022,53,20300,about,477
4/18/2022,54,20600,about,477
4/19/2022,55,20800,about,489
4/20/2022,56,20900,about,489
4/21/2022,57,21000,about,489
4/22/2022,58,21200,about,489
4/23/2022,59,21600,about,489
4/24/2022,60,21800,about,489
4/25/2022,61,21900,about,489
4/26/2022,62,22100,about,489
4/27/2022,63,22400,about,496
4/28/2022,64,22800,about,
4/29/2022,65,23000,about,
4/30/2022,66,23200,about,
5/1/2022,67,23500,about,
5/2/2022,68,23800,about,
5/3/2022,69,24200,about,
5/4/2022,70,24500,about,
5/5/2022,71,24700,about,
5/6/2022,72,24900,about,
5/7/2022,73,25100,about,
5/8/2022,74,25500,about,
5/9/2022,75,25650,about,
5/10/2022,76,26000,about,
5/11/2022,77,26350,about,
5/12/2022,78,26650,about,
5/13/2022,79,26900,about,
5/14/2022,80,27200,about,
5/15/2022,81,27400,about,
5/16/2022,82,27700,about,
5/17/2022,83,27900,about,
5/18/2022,84,28300,about,
5/19/2022,85,28500,about,
5/20/2022,86,28700,about,
5/21/2022,87,28850,about,
5/22/2022,88,29050,about,
5/23/2022,89,29200,about,
5/24/2022,90,29350,about,
5/25/2022,91,29450,about,
5/26/2022,92,29600,about,
5/27/2022,93,29750,about,
5/28/2022,94,30000,about,
5/29/2022,95,30150,about,
5/30/2022,96,30350,about,
5/31/2022,97,30500,about,
6/1/2022,98,30700,about,
6/2/2022,99,30850,about,
6/3/2022,100,30950,about,
6/4/2022,101,31050,about,
6/5/2022,102,31150,about,
6/6/2022,103,31250,about,
6/7/2022,104,31360,about,
6/8/2022,105,31500,about,
6/9/2022,106,31700,about,
6/10/2022,107,31900,about,
6/11/2022,108,32050,about,
6/12/2022,109,32150,about,
6/13/2022,110,32300,about,
6/14/2022,111,32500,about,
6/15/2022,112,32750,about,
6/16/2022,113,32950,about,
6/17/2022,114,33150,about,
6/18/2022,115,33350,about,
6/19/2022,116,33600,about,
6/20/2022,117,33800,about,
